ra,dec,gaia_g_mag,gaia_parallax,sdss_z,separation_arcsec
253.587776320645,35.19687847185826,18.129751,-0.1044361125063195,1.502469,0.10608098350044604
253.42278557703216,34.82201092315185,16.53934,0.7791896650150932,1.402175e-05,0.19190182113235543
253.35732430219255,34.70816107222887,15.869571,0.6179410360290487,-0.00017378708,0.09471564961597226
253.09183195251052,34.76142042487056,15.278209,0.3811802298545604,-0.00014439833,0.03850592491268695
253.11502747710162,34.788844725252375,17.065039,0.20138908713298104,-0.00017632384,0.08665622578584928
252.96174781212522,34.60630176960596,15.402584,0.227002078211978,-0.00061056117,0.10923031632077465
252.96107678145754,34.9715392582157,18.983803,0.12845643563758996,1.66609,0.03430692456937686
252.78685936668938,34.94270559114176,18.207523,-0.1288981744665303,1.5422235,0.012413383401483338
253.039295264559,35.17691330469632,15.469203,0.12344909240528767,-0.0012614566,0.1641954199960609
252.7603397991443,35.29939833106341,16.855024,0.23444945731982564,-0.00020730731,0.11814793208684446
253.85397720794904,34.868534177347705,18.373919,-0.0043283645703568185,0.032058064,0.009272242547509062
253.34417141570688,35.35993541855642,16.651215,0.25618080774204727,7.755287e-05,0.15932689157891664
253.48371568715368,35.25529297270869,18.317501,-0.7100696172891903,0.03727098,0.0746939725831261
253.1534982453061,35.57688262240525,19.013988,5.326701250895512,-6.218734e-05,0.9222011734405233
254.79643855650968,33.670883148366876,17.203718,0.10879832206113502,-0.0007911301,0.07712259215097343
254.79336906337915,32.75327822976413,15.986942,0.811245321988056,-6.1241364e-05,0.09265078679671047
254.70291959198957,33.43271430074966,15.293028,0.29729108216142186,-0.00024752461,0.060129796915994564
254.84069392993052,33.111978621137794,16.060282,0.20601518821049208,-0.00031006313,0.14651172008546745
254.64877605028155,33.115039405224735,16.970078,0.47045180633493566,-0.00027693648,0.10877214427664765
254.28660447519601,33.74432311980941,18.974445,-0.2812842104139101,1.4286059,0.05605562243252259
254.33588986744869,33.51265922042265,15.062279,0.2714909981606005,-0.0005666975,0.08657276815595905
254.35848693223636,33.41130311865319,18.949518,-0.07435959684262888,0.87230504,0.017459410817032308
254.57663661282405,33.33080483365947,17.44572,-0.133828774245798,0.71664983,0.07988886647043422
254.11574140630464,34.0404794595123,16.230787,3.339081712576022,-8.700237e-06,0.554045592098559
254.010540339149,33.92682214082408,18.23209,-0.044576533874215646,1.5018815,0.04781827216544395
