source_id,ra,dec,parallax,parallax_error,distance,g_mag,bp_mag,rp_mag,abs_g_mag,bp_rp_color,teff,logg,mh,ag,ebpminrp,stellar_type
3512703428148736,46.527740478515625,4.636641025543213,0.8517149090766907,0.07627122104167938,1174.1017908023462,16.83419418334961,17.48603630065918,16.07384490966797,6.485665431042898,1.412191390991211,4283.17529296875,4.328199863433838,-0.5896999835968018,0.00989999994635582,0.0052999998442828655,Red MS
3512772147625344,46.51625442504883,4.646142482757568,0.9797157645225525,0.04838237166404724,1020.7042044355923,16.232467651367188,16.751487731933594,15.555450439453125,6.187968132869516,1.1960372924804688,5190.18701171875,4.673399925231934,-0.6421999931335449,0.42809998989105225,0.23100000619888306,Red MS
3513248888669952,46.44450378417969,4.630378723144531,8.2869234085083,0.16281995177268982,120.67204566815303,18.432573318481445,18.63749122619629,18.210535049438477,13.024539943063212,0.4269561767578125,,,,,,White Dwarf
3514004802906880,46.49867248535156,4.696043491363525,0.8932096362113953,0.0361940972507,1119.5580068320387,15.68950366973877,16.225584030151367,14.998875617980957,5.444270668352772,1.2267084121704102,5047.115234375,4.390100002288818,-0.2515999972820282,0.32019999623298645,0.16990000009536743,Red MS
3514009098206208,46.498931884765625,4.694425582885742,0.7783805131912231,0.07453881949186325,1284.7186986994009,17.1158504486084,17.772565841674805,16.338167190551758,6.571810222631761,1.4343986511230469,4265.31396484375,4.355400085449219,-0.9891999959945679,0.07109999656677246,0.03799999877810478,Red MS
3514043457927680,46.320770263671875,4.5654616355896,1.397495985031128,0.09177861362695694,715.5655620561414,16.339841842651367,17.162866592407227,15.406899452209473,7.066594686870037,1.755967140197754,4315.6005859375,4.500800132751465,-0.0017000000225380063,0.6015999913215637,0.3197000026702881,Red MS
3514043457928320,46.314579010009766,4.561455726623535,1.791405439376831,0.019897809252142906,558.2209242079034,9.8460054397583,10.52408218383789,9.052633285522461,1.1119748825628122,1.4714488983154297,,,,,,Red Giant
3514180896880640,46.34064865112305,4.576803684234619,0.8834326863288879,0.029909541830420494,1131.9481557282068,15.07783317565918,15.543587684631348,14.440408706665039,4.808700494563862,1.1031789779663086,5183.123046875,4.273200035095215,-1.0473999977111816,0.2840000092983246,0.1543000042438507,Sub-Giant
3514898156105472,46.3568229675293,4.632059097290039,1.7534840106964111,0.015336243435740471,570.2931956607015,12.935013771057129,13.315895080566406,12.377655982971191,4.154522821466156,0.9382390975952148,5811.19287109375,4.172500133514404,-0.7950000166893005,0.3449000120162964,0.18780000507831573,Sub-Giant
3515211689031936,46.260047912597656,4.615173816680908,0.7270412445068359,0.0269024521112442,1375.4377864467874,14.934857368469238,15.345076560974121,14.354364395141602,4.24265261226679,0.9907121658325195,5833.68603515625,4.177199840545654,-0.2766999900341034,0.4489000141620636,0.24250000715255737,Sub-Giant
